StudentID,SchoolID,FirstName,LastName,DateOfBirth,Gender,EnrollmentDate,IsActive,EconomicStatus,ELL,SpecialEducation,IEPStatus,PerformanceLevel,AttendancePropensity
1,1,Eden,Miller,2016-05-24,Other,2023-06-20,1,Free,1,0,No IEP,97,0.96
2,1,Morgan,Davis,2015-10-24,Female,2022-10-10,1,Reduced,1,0,No IEP,69,0.88
3,1,Logan,Johnson,2009-04-25,Female,2022-09-04,1,Free,0,0,No IEP,78,0.9
4,1,Isaiah,Garcia,2018-07-21,Female,2023-05-21,1,Reduced,0,0,No IEP,67,0.71
5,1,Harper,Williams,2020-09-21,Female,2023-10-09,1,Free,0,0,No IEP,65,0.75
6,1,Finley,Jones,2009-11-17,Male,2023-03-27,1,Free,0,0,No IEP,81,0.93
7,1,Parker,Garcia,2012-04-27,Female,2022-09-19,1,Full Price,0,0,No IEP,100,0.81
8,1,Noah,Jones,2010-10-04,Male,2023-12-05,1,Reduced,1,0,No IEP,85,0.79
9,1,Bailey,Allen,2007-04-26,Female,2024-02-19,1,Free,0,0,No IEP,62,0.61
10,1,Alex,Smith,2017-10-17,Male,2022-10-13,1,Free,0,0,No IEP,32,0.81
11,1,Noah,White,2007-03-12,Other,2023-12-18,1,Free,0,0,No IEP,69,0.97
12,1,Bailey,Garcia,2017-07-21,Male,2024-01-04,1,Full Price,0,0,No IEP,81,0.92
13,1,Finley,White,2010-08-01,Male,2023-10-10,1,Full Price,0,0,No IEP,69,0.92
14,1,Logan,Hall,2014-07-19,Male,2022-12-13,1,Reduced,1,1,No IEP,79,0.88
15,1,Finley,Allen,2019-09-04,Other,2022-10-30,1,Free,0,0,Current IEP,95,0.96
16,1,Oliver,Smith,2020-08-04,Female,2022-11-21,1,Reduced,0,0,No IEP,89,0.92
17,1,Finley,White,2011-06-12,Male,2023-03-29,1,Free,0,0,Current IEP,108,0.95
18,1,Casey,White,2013-10-01,Other,2023-11-02,1,Full Price,0,0,Current IEP,53,0.73
19,1,Noah,White,2020-09-02,Other,2022-10-14,1,Full Price,0,0,No IEP,97,0.96
20,1,Harper,Martinez,2014-08-20,Female,2023-02-08,1,Reduced,0,0,No IEP,50,0.9
21,1,Morgan,Miller,2019-03-26,Other,2023-04-10,1,Full Price,0,0,Evaluation Pending,52,0.85
22,1,Isaiah,White,2019-11-04,Female,2022-08-18,1,Free,0,0,No IEP,65,0.75
23,1,Logan,Lee,2011-11-17,Female,2024-05-04,1,Reduced,1,0,No IEP,65,0.84
24,1,Jordan,Martinez,2008-10-21,Female,2023-12-05,1,Reduced,0,0,No IEP,75,0.94
25,1,Dakota,Williams,2013-08-18,Male,2023-03-28,0,Free,0,1,No IEP,40,0.9
26,1,Logan,Lee,2008-08-15,Other,2024-02-28,1,Reduced,1,0,No IEP,76,0.9
27,1,Jordan,Walker,2015-07-09,Male,2022-09-21,1,Free,0,0,No IEP,69,0.94
28,1,Logan,Miller,2013-07-18,Female,2022-11-24,1,Free,0,0,No IEP,7,0.6
29,1,Isaiah,Allen,2010-04-28,Male,2024-03-04,1,Free,0,0,No IEP,63,0.82
30,1,Alex,Davis,2015-02-05,Male,2023-01-07,1,Free,0,0,Evaluation Pending,40,0.98
31,1,Alex,Brown,2013-12-08,Female,2024-04-22,1,Reduced,0,1,No IEP,52,0.96
32,1,Dakota,Martinez,2018-08-21,Female,2024-02-18,1,Full Price,0,0,No IEP,63,0.95
33,1,Eden,Walker,2016-02-08,Male,2023-03-07,1,Reduced,0,0,No IEP,52,0.79
34,1,Oliver,Miller,2006-01-23,Female,2024-03-24,1,Free,0,0,No IEP,52,0.82
35,1,Finley,Williams,2010-09-05,Female,2022-11-16,1,Free,0,1,No IEP,73,0.78
36,1,Parker,Jones,2012-10-10,Female,2023-11-17,1,Free,1,0,No IEP,99,0.82
37,1,Isaiah,Johnson,2008-06-08,Other,2023-11-24,1,Free,0,0,Current IEP,93,0.9
